#  d/Mpc   "v"/km/s
766.144 50264.26
720.044 50325.75
706.232 50360.18
749.913 50384.77
713.211 50406.89
683.590 50421.64
765.213 50497.83
753.197 50775.34
757.492 50929.90
748.514 51143.15
649.423 51365.99
770.236 51368.44
816.325 51476.10
897.270 51422.28
746.388 51461.43
753.524 51520.13
741.737 51578.82
795.353 51652.16
728.112 51693.71
809.065 51703.49
763.250 52598.47
791.873 52659.31
889.956 52931.62
732.232 52985.07
801.852 52968.06
820.412 52982.64
737.941 53096.78
753.649 53118.63
776.517 53130.77
795.649 53150.19
762.425 53380.67
725.190 53397.64
660.684 53543.06
746.036 53579.40
792.627 53613.32
968.939 53688.39
792.402 53722.28
792.711 53729.54
842.422 53799.74
778.391 53954.56
718.269 53935.21
794.830 53956.98
720.003 54210.74
826.671 54225.23
748.154 54239.72
779.500 54396.64
697.779 54582.37
829.740 54633.00
771.454 54707.72
818.211 54804.08
787.270 54818.53
803.914 54828.17
806.030 54840.21
794.894 54948.55
785.885 55155.45
772.071 55196.32
895.734 55302.08
760.950 55383.76
799.459 55743.76
957.995 55832.46
856.246 55875.60
730.805 56060.05
781.491 56098.35
867.784 56119.90
777.156 56122.29
782.822 56139.04
768.601 56313.69
884.675 56471.47
642.676 56519.26
812.082 56633.90
755.295 56662.55
808.909 56700.75
881.096 56791.44
813.131 56846.31
792.990 56908.32
801.544 56975.08
832.453 57272.86
827.236 57306.18
782.208 57377.57
830.254 57517.91
779.623 57681.91
1019.054 57686.66
912.532 57812.54
758.468 58019.01
847.700 58068.81
857.890 58075.93
876.004 58199.20
818.956 58322.41
908.870 58481.04
875.736 58566.23
896.499 58568.59
870.728 58573.32
831.699 58570.96
821.870 58705.76
862.644 58686.84
843.382 58797.94
853.882 58762.49
915.094 58783.76
791.011 58852.29
893.232 58970.38
849.874 59003.43
835.523 59173.34
841.199 59173.34
894.997 59211.08
950.079 59517.45
876.333 59630.45
823.293 59719.87
866.758 59903.29
796.192 59903.29
859.900 59976.15
873.976 60140.56
867.608 60098.29
888.907 60102.99
810.850 60166.38
976.419 60328.30
852.130 60520.55
902.611 60736.03
876.384 60846.03
901.505 60995.72
865.429 61112.59
862.450 61203.70
935.792 61292.43
839.850 61343.79
852.727 61364.79
931.026 61383.46
939.903 61448.79
890.770 61539.75
845.262 61588.71
891.758 61684.27
751.564 61817.04
883.039 62019.53
981.232 62038.14
880.059 62077.68
864.036 62077.68
884.425 62296.17
920.693 62286.88
870.949 62314.76
872.740 62372.82
901.367 62454.08
963.776 62655.94
913.123 62699.99
1002.941 62709.27
854.146 62750.99
897.980 62781.12
896.379 62843.69
1134.508 62899.29
898.884 62994.23
772.537 63405.90
856.406 63445.17
962.730 63521.38
969.720 63678.34
937.621 63756.77
851.771 63865.14
871.866 63860.53
1043.888 63989.58
977.202 64127.75
1047.877 64136.96
903.219 64240.52
1030.352 64298.03
921.048 64445.19
883.759 64516.43
851.665 64546.30
936.615 64656.54
1009.087 64690.97
946.967 64752.95
979.181 64879.13
941.733 64902.06
954.889 64977.72
913.928 64991.47
960.398 65005.23
878.598 65124.38
879.556 65431.08
1004.288 65460.82
975.300 65460.82
947.868 65467.68
930.510 65472.25
974.758 65540.84
926.363 65577.41
1091.153 65719.05
917.073 65746.46
958.253 65748.74
1052.873 65817.23
951.354 65826.36
968.023 65876.57
1039.445 65892.55
918.522 65926.77
955.614 65983.80
991.715 66243.63
987.808 66371.14
962.821 66375.70
945.678 66534.97
809.008 66594.10
983.203 66705.48
1071.897 67184.38
1030.005 67193.45
945.157 67229.71
1002.817 67336.20
1037.796 67447.16
998.632 67451.69
1052.489 67535.44
1013.723 67625.93
984.957 67732.21
1004.915 67750.29
1019.287 67876.83
906.832 67870.06
966.124 67879.09
1010.680 67931.04
973.168 67973.94
1000.262 68192.83
1051.703 68271.75
974.051 68370.91
961.057 68418.23
1087.806 68443.00
1084.605 68443.00
949.418 68452.01
1090.771 68467.78
1104.855 68499.31
1417.265 68731.10
1062.492 68773.83
951.419 68861.50
1023.453 68942.40
909.915 68946.89
1059.522 68967.11
999.346 68989.57
1002.536 69117.55
1077.600 69092.86
1045.705 69359.82
917.336 69373.27
902.582 69492.04
1015.145 69621.93
997.611 69861.33
975.724 69883.69
1029.223 69986.51
972.246 69982.04
1040.855 70051.30
1055.445 70334.79
995.273 70343.71
997.292 70421.76
985.475 70510.92
1021.634 70608.95
1008.303 70911.63
976.012 71078.35
1103.216 71309.29
1121.585 71457.92
1000.420 71451.27
1063.795 71597.58
1069.214 71697.27
1158.881 71779.19
1040.666 72018.14
1194.713 72062.35
1080.906 72371.58
986.229 72495.13
1014.178 72510.56
1061.412 72647.24
1039.576 72808.05
1027.635 72975.32
1098.303 73102.87
1055.800 73272.08
1014.266 73408.22
999.846 73498.19
1070.779 73493.80
1299.885 73568.38
1076.113 73741.55
1059.343 73807.27
1043.166 73978.04
1009.634 74126.78
995.053 74177.07
1162.168 74214.23
1075.385 74308.18
1095.888 74371.52
1094.206 74388.99
1198.030 74474.13
1092.297 74491.59
1059.304 74504.68
1071.891 74511.23
1215.827 74626.85
1089.600 74733.67
1084.868 74727.13
1113.036 74809.94
967.891 74979.80
1098.654 75164.73
1101.145 75136.45
1093.479 75184.30
940.352 75184.30
1037.910 75256.03
1065.670 75266.90
1090.507 75340.78
1131.857 75364.68
1147.150 75501.47
1096.841 75809.45
1235.043 75965.41
1222.518 75982.73
1219.058 76119.08
1044.761 76214.24
1089.441 76222.89
1382.563 76557.73
1040.770 76564.21
1175.793 76656.99
1226.236 76732.48
1231.668 76784.22
1078.873 76760.51
1209.966 76913.52
1153.143 76945.83
1319.399 77066.40
1140.922 77221.31
1280.283 77201.95
1156.349 77444.84
1119.822 77535.03
1172.211 77627.33
1260.189 77659.51
1067.913 77749.60
1061.156 77747.46
1237.892 77925.36
1160.983 77923.22
1006.483 78013.18
1162.482 78026.03
1216.297 78081.69
1183.541 78118.08
1156.380 78274.25
1305.662 78331.97
1189.034 78393.95
1329.645 78624.60
1185.712 78660.88
1208.380 78786.73
1236.547 78859.22
1197.018 78891.19
1220.312 78910.37
1063.844 78944.46
1015.141 79131.85
1207.238 79153.13
1235.019 79204.20
1215.304 79363.69
1229.294 79433.82
1180.709 79455.07
1183.570 79576.13
1227.197 79588.87
1015.432 79590.99
1218.087 79650.43
1210.529 79665.28
1219.104 79841.34
1277.260 79983.32
1216.104 80091.33
1142.311 80120.97
1322.757 80264.86
1167.894 80275.43
1319.111 80340.98
1244.324 80678.95
1246.066 80725.37
1213.450 80763.34
1402.349 80818.17
1282.266 80932.01
1144.462 80929.90
1334.853 81344.57
1174.989 81357.19
1310.663 81384.52
1057.164 81607.20
1125.337 81607.20
1132.929 81607.20
1161.115 81714.24
1235.705 82110.36
1327.790 82279.86
1349.336 82311.23
1289.243 82353.05
1222.095 82359.33
1223.107 82461.74
1193.608 82820.77
1374.951 82893.74
1402.419 82912.50
1157.341 82922.92
1232.801 82979.18
1249.134 82956.26
1153.787 82958.34
1223.946 83062.50
1440.634 83106.22
1330.928 83131.20
1249.968 83166.59
1109.372 83218.61
1324.612 83364.20
1286.683 83349.64
1287.534 83357.96
1281.171 83416.16
1188.741 83416.16
1196.194 83445.26
1206.885 83569.89
1325.566 83534.59
1247.046 83571.97
1198.241 83621.80
1176.970 83748.38
1384.148 83852.07
1189.864 83982.64
1208.696 83982.64
1255.444 84160.71
1201.078 84266.23
1200.374 84313.80
1205.949 84623.70
1280.147 84807.31
1190.425 84780.50
1268.342 84809.38
1271.595 84865.04
1266.085 84957.78
1247.379 85011.34
1214.282 85112.23
1280.766 85422.78
1214.349 85502.90
1217.273 85525.50
1302.462 85679.45
1358.519 86236.66
1348.091 86240.75
1312.217 86300.05
1293.558 86439.03
1371.937 86535.02
1425.403 86722.76
1241.937 86759.47
1394.756 87101.71
1318.170 87156.65
1337.612 87195.31
1253.267 87199.37
1289.734 87252.25
1177.076 87274.62
1396.136 87272.58
1259.913 87264.45
1469.821 87274.62
1279.239 87396.56
1307.055 87496.09
1318.337 87538.72
1462.586 87680.77
1367.807 87678.74
1385.627 88094.06
1448.486 88429.64
1376.213 88913.66
1373.754 88961.98
1304.532 89046.52
1249.093 89096.82
1251.461 89183.31
1430.112 89175.26
1415.416 89279.80
1270.121 89392.30
1208.391 89428.44
1421.551 89544.86
1228.006 89659.19
1302.067 89927.67
1374.742 90035.74
1436.865 90365.55
1235.117 90608.99
1291.031 90678.76
1276.367 90792.34
1307.728 90941.66
1438.542 90963.55
1490.576 91068.98
1433.234 91104.77
1423.612 91283.61
1279.536 91333.26
1377.594 91402.73
1374.904 91495.99
1379.678 91480.12
1552.507 91470.20
1311.328 91484.09
1194.185 91484.09
1396.252 91551.52
1347.803 91662.53
1379.153 91696.21
1407.940 91676.40
1331.828 92074.20
1433.412 92222.40
1393.912 92719.37
1357.429 92955.51
1399.539 93075.42
1316.270 93324.79
1390.707 93330.68
1419.833 93454.24
1412.797 93515.01
1414.780 93609.05
1567.176 93665.85
1485.503 93693.26
1360.990 93841.98
1357.651 93908.47
1453.861 94123.41
1454.104 94513.49
1360.867 94675.10
1476.230 94787.94
1526.645 94859.89
1361.261 95081.36
1465.340 95207.50
1415.818 95809.72
1409.057 96292.22
1278.232 96650.28
1571.880 97126.48
1419.329 97321.93
1409.661 97635.70
1453.937 97777.08
1499.524 97920.24
1539.593 98097.59
1317.863 98131.89
1615.543 98274.74
1549.339 98466.91
1552.848 98945.40
1581.813 98966.25
1556.775 98996.58
1536.824 99034.48
1539.984 99125.41
1523.456 99350.61
1648.457 99382.76
1632.800 99422.46
1613.790 99622.71
1565.455 100387.38
1484.594 100762.73
1531.775 100880.78
1380.393 100888.27
1663.673 100946.32
1612.376 100935.09
1366.472 101011.84
1638.661 101067.98
1482.506 101185.80
1559.738 101176.45
1425.028 101389.45
1501.838 101475.31
1523.674 101469.71
1464.628 101680.45
1639.478 101669.27
1555.229 101749.39
1570.343 101859.27
1537.362 102065.77
1571.226 102125.25
1615.138 102301.70
1631.377 102310.98
1997.379 102477.96
1665.613 102628.08
1492.328 102670.68
1622.942 102683.65
1694.900 102816.93
1628.188 102902.02
1583.972 103776.13
1444.757 103880.92
1752.447 104117.81
1470.303 104286.53
1654.701 104303.03
1366.377 104502.67
1498.409 104502.67
1611.019 104581.36
1860.568 104723.99
1474.822 104824.49
1505.335 104997.92
1626.883 105165.69
1665.912 105180.27
1581.718 105387.88
1591.699 105417.00
1623.317 106092.41
1644.453 106334.98
1723.628 106345.84
1470.186 106642.17
1674.760 106714.36
1432.076 106838.81
1724.194 106838.81
1518.476 106813.57
1726.413 106936.13
1572.881 107134.19
1640.038 107159.38
1565.696 107367.93
1636.751 107394.87
1696.642 108111.70
1721.486 108427.81
1732.191 108504.51
1705.938 108607.90
2005.509 109469.69
1751.009 109503.35
1689.723 109821.86
1533.407 109892.55
1886.199 110173.21
1718.756 110204.95
1690.989 110404.05
1736.137 110449.83
1654.231 111110.21
1886.801 111497.00
1598.842 111758.95
1706.204 111767.67
1617.771 111823.49
1699.785 111955.98
1676.834 111982.11
1951.357 112156.23
1753.883 113386.54
1913.186 114015.03
1744.922 114452.51
1795.744 114553.54
1743.772 114574.08
1778.406 114856.22
1884.072 115429.05
1765.827 115457.98
1800.157 115774.05
1726.515 115774.05
1789.456 115814.78
1786.056 115830.05
1729.740 116319.58
1749.790 116351.71
1857.807 116518.98
1862.774 116554.44
1680.389 116689.43
1737.424 117007.85
1707.784 117144.10
1987.101 117291.97
